"document.document_id","document.code","document.description","document.point_of_sale_id","document.abbr","document.type","document.tax","document.discriminate","document.branch","document.number","document.entry","document.exit","document.fiscal","document.stock","document.current_account","document.cash","document.debit","document.credit","document.invoices","document.receipts","document.packing_slips","document.orders","document.budget","document.countable","document.printer","document.lines","document.fund_id","document.replicate","document.notes","document.observations","document.descriptions","document.cash_box","document.books","document.form","document.down_payment","document.copies","document.confirm_printing","document.internal","document.invert","document.continuous","document.multiple_pages","document.preprinted","document.replica"
0,,"Interno",0,,,"False","False",1,1,"True","True","False","False","False","False","False","False","False","False","False","False","False","False",,25,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
1,,"Factura A",,"FA","A","True","True",1,7617,"True","False","False","True","True","False","True","False","True","False","False","False","False","True",,25,1,"True",,,,"True","False",1,"False",,"False","False","False","False","False","False","False"
2,,"Factura B",,"FB","B","True","False",1,2,"True","False","False","True","True","False","True","False","True","False","False","False","False","True",,25,1,"True",,,,"True","False",1,"False",,"False","False","False","False","False","False","False"
3,,"Pedido",,"PED","X","False","False",1,1,"True","False","False","False","False","False","True","False","False","False","False","True","False","False",,0,2,"False",,,,"False","False",4,"False",,"False","False","False","False","False","False","False"
4,"rec09001","Recibo",4,"RC","X","False","False",1,1,"True","False","True","False","False","False","False","True","False","True","False","False","False","True",,25,1,"False",,,,"True","False",2,"False",,"False","False","False","False","False","False","False"
6,,"Remito",0,"REM","X","True","False",1,1,"True","False","False","True","False","False","True","False","False","False","True","False","False","False",,21,2,"False",,,,"False","False",5,"False",,"False","False","False","False","False","False","False"
11,,"Nota de Crédito A",,"NCA","A","False","False",1,1,"True","False","False","False","True","False","False","True","True","False","False","False","False","True",,25,1,"False",,,,"True","False",1,"False",,"False","False","True","False","False","False","False"
12,,"Nota de Crédito B",,"NCB","B","False","False",1,1,"True","False","False","False","True","False","False","True","True","False","False","False","False","True",,25,1,"False",,,,"True","False",1,"False",,"False","False","True","False","False","False","False"
21,,"Nota de Débito A",,"NDA","A","True","True",1,1,"True","False","False","False","True","False","True","False","True","False","False","False","False","True",,25,1,"False",,,,"True","False",1,"False",,"False","False","False","False","False","False","False"
22,,"Nota de Débito B",,"NDB","B","True","False",1,1,"True","False","False","False","True","False","True","False","True","False","False","False","False","True",,25,1,"False",,,,"True","False",1,"False",,"False","False","False","False","False","False","False"
23,,"Presupuesto",0,"PR",,"False","False",0,1,"True","False","False","False","False","False","True","False","True","False","False","False","False","True",,20,1,"True",,,,"True","False",1,"False",,"False","False","False","False","False","False","False"
24,,"Presupuesto I",0,"PRI",,"False","False",0,8771,"True","False","False","True","False","False","True","False","True","False","False","False","False","False",,20,1,"True",,,,"False","False",1,"False",,"False","False","False","False","False","False","False"
30,,"Boleta de Depósito",0,"B/D","X","False","False",1,1,"False","True","False","False","False","True","False","False","False","False","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","False","False","False","False","False"
40,,"Vale",0,"V","X","False","False",1,1,"True","False","False","False","False","False","False","False","False","False","False","False","False","True",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
101,"fpra","Factura Prov. A",5,"FPA","A","True","True",1,1,"False","True","False","False","False","False","True","False","True","False","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","True","False","False","False","False"
102,"fc-b-prov-0001","Factura Prov. B",5,"FPB","B","False","False",1,1,"False","True","False","False","False","False","True","False","True","False","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","True","False","False","False","False"
103,"fc-c-prov-0001","Factura Prov. C",5,"FPC","C","False","False",1,1,"False","True","False","False","False","False","True","False","True","False","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","True","False","False","False","False"
104,,"Ticket",,"TKT","A","False","False",1,2,"False","True","False","False","False","False","False","False","False","False","False","False","False","True",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
110,546456456,"Orden de Pago",5,"O/P","X","False","False",1,1,"False","True","False","False","False","False","False","True","False","True","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","True","False","False","False","False"
111,4543534,"Orden de Pago (Gastos)",5,"OPG","X","False","False",1,1,"False","True","False","False","False","False","False","False","False","True","False","False","False","True",,20,1,"False",,,,"True","False",,"False",,"False","False","True","False","False","False","False"
120,,"Orden de Compra",0,"O/C","X","False","False",1,1,"False","True","False","False","False","False","False","False","False","False","False","True","False","False",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
130,,"Remito de Entrada",0,"R/E","X","False","False",1,1,"False","True","False","True","True","False","True","False","True","False","False","False","False","True",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
131,,"Remito de Salida",0,"R/S","X","False","False",1,1,"False","True","False","True","False","False","False","True","False","False","True","False","False","False",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
140,,"Ajuste de Inventario",0,"A/I","X","False","False",1,1,"True","True","False","False","False","False","False","False","False","False","False","False","False","False",,20,1,"False",,,,"False","False",,"False",,"False","False","False","False","False","False","False"
141,3545431,"Order allocation",4,"OA",,"False","False",,0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False",,0,2,"False",,,,"False","True",,"False",,"False","True","False","False","False","False","False"
